Change Footprint: Footprint Not Found Model Name
Add Pin To Net: Unknown Pin: Pin SW1-0
Add Pin To Net: Unknown Pin: Pin SW1-0
Add Pin To Net: Unknown Pin: Pin SW2-0
Add Pin To Net: Unknown Pin: Pin SW2-0
Add Pin To Net: Unknown Pin: Pin SW3-0
Add Pin To Net: Unknown Pin: Pin SW3-0
Add Pin To Net: Unknown Pin: Pin SW4-0
Add Pin To Net: Unknown Pin: Pin SW4-0
Add Pin To Net: Unknown Pin: Pin SW5-0
Add Pin To Net: Unknown Pin: Pin SW5-0
Add Pin To Net: Unknown Pin: Pin SW6-0
Add Pin To Net: Unknown Pin: Pin SW6-0
Add Pin To Net: Unknown Pin: Pin SW7-0
Add Pin To Net: Unknown Pin: Pin SW7-0
Add Pin To Net: Unknown Pin: Pin SW8-0
Add Pin To Net: Unknown Pin: Pin SW8-0
Add Pin To Net: Unknown Pin: Pin SW9-0
Add Pin To Net: Unknown Pin: Pin SW9-0
