Removed Pin From Net: NetName=NetC39_1 Pin=SW9-3
Removed Pin From Net: NetName=3v3 Pin=SW9-4
Removed Pin From Net: NetName=3v3 Pin=V1-
Change Footprint: Footprint Not Found Model Name
Add Pin To Net: Unknown Pin: Pin SW1-0
Add Pin To Net: Unknown Pin: Pin SW1-0
Add Pin To Net: Unknown Pin: Pin SW2-0
Add Pin To Net: Unknown Pin: Pin SW2-0
Add Pin To Net: Unknown Pin: Pin SW3-0
Add Pin To Net: Unknown Pin: Pin SW3-0
Add Pin To Net: Unknown Pin: Pin SW4-0
Add Pin To Net: Unknown Pin: Pin SW4-0
Add Pin To Net: Unknown Pin: Pin SW5-0
Add Pin To Net: Unknown Pin: Pin SW5-0
Add Pin To Net: Unknown Pin: Pin SW6-0
Add Pin To Net: Unknown Pin: Pin SW6-0
Add Pin To Net: Unknown Pin: Pin SW7-0
Add Pin To Net: Unknown Pin: Pin SW7-0
Add Pin To Net: Unknown Pin: Pin SW8-0
Add Pin To Net: Unknown Pin: Pin SW8-0
Add Pin To Net: Unknown Pin: Pin SW9-0
Add Pin To Net: Unknown Pin: Pin SW9-0
